ward_no,representative,female,population,category,area,ward_name,st,localities,sc,constituency,male
70,Gangadhar.H.N (BJP),12913,28604,General,2.18,Rajagopal Nagar,606,"['Rajagopal Nagar', ' Byraveshwara Nagar', ' Rajarajeshwari Nagar', ' Kempegowda Housing Society', ' Shambhavi Nagar', ' Doddanna Industrial Estate', ' Indira Priyadarshani Nagar', ' Kapila Nagar', ' Annapoorna Nagar', ' Srigandha Nagar', ' Kareemsab Nagar']",2364,Dasarahalli,15691
99,H.R.Krishnappa (BJP),16010,33231,Backward Category A,0.86,Rajaji Nagar,241,"['Adaranha Layout', ' Indira Nagar', ' Manjunath Nagar', ' Basaveshwara Nagar', ' KEB Quaters', ' Rajajinagar 2nd block']",2175,Rajajinagar,17221
64,M.Vijaya Kumari (BJP),16721,33964,General (Women),0.73,Rajamahal Guttahalli,250,"['Vaiyyalikaval (P)', ' Malleswaram (P)', ' Rajamahal Guttahalli']",3922,Malleshwaram,17243
160,G.H.Ramachandra (BJP),11190,23282,General,11.35,Rajarajeshwari Nagar,306,"[u'Pramod House Building Society', u' Puspagiri Nagar', u' Bagegowda Layout', u' P S Reddy Layout', u' P G D\u2019souza Layout', u' Muneswara Nagar', u' Sharad D\u2019souza Layout', u' Javarayanadoddi', u' Suryavanshi Layout', u' Rajarajeshwari Nagar 2nd stage', u' Kenchanahalli', u' BHEL Layout', u' Ideal Homes', u' Bangarappa Nagar', u' Durga Nagar', u' Gurudatha Layout', u' Sapthagiri Layout', u' Haridas Nagar', u' Gottigere Layout', u' Sudarshan Layout', u' Gottigere', u' Halage Vaderahalli', u' Shivanna Layout', u' M G Layout', u' Papayya Layout', u' Durga Parameshwari Layout', u' RR Nagar 5th Stage', u' RR Nagar 3rd stage', u' BEML Layout', u' Basaveshwara Layout', u' Sudarshana Layout', u' Panchasheela Nagar', u' University Layout', u' Kalegowda Layout', u' Nandadeep Layout', u' Sachidanand Nagar', u' Channasandra Layout', u' Channasandra', u' Bharat Housing Society layout (P)', u' Happy Valley Layout (P)', u' Raja Gardenia (P)', u' Hosakerehalli kere', u' Halage Vaderahalli Kere']",2605,Rajarajeshwari Nagar,12092
26,M.Revanna (BJP),10669,21999,Backward Category A,7.87,Ramamurthy Nagar,247,"['Kalkere', ' K. Channasandra', ' Kanakanagara', ' Akshya Nagara', ' Dr. Ambedkar Nagar', ' Manjunath Layout', ' Chandravadana Layout', ' Ragavendra Extention', ' M. Vishveswaraiah Nagar', ' Kaudenahalli', ' Ramamurthy Nagar (P)']",3489,K R Puram,11330
62,Chandra N (INC),15545,32400,Scheduled Caste,0.83,Ramaswamy Palya,116,"['Rajappa Block', ' Kemapaiah block', ' Gundappa Garden', ' Anjanappa Garden', ' Narayana block', ' Anchappa Garden', ' Marappa Garden', ' Muddamma Garden', ' Krishnappa Garden', ' Chinnappa Garden', ' Ramaswamy Palya']",7046,Shivajinagar,16855
137,C.S.Radha Krishna (JD (S)),16021,32949,Scheduled Caste,0.45,Rayapuram,233,"['Padarayanpura (P)', ' Rayapuram', ' Ranganath Colony', ' Jagjivanram Nagar (P)', ' CAR Police Quarters (P)']",10777,Chamarajpet,16928
60,Palaniyammal.V (INC),17349,34874,Scheduled Caste,0.77,Sagayarapuram,132,"['Bagalur Layout', ' Sagayapuram', ' Richords town', ' Lazar Layout']",10444,Pulakeshinagar,17525
110,M.Gopi (BJP),16147,33120,Backward Category A,4.45,Sampangiram Nagar,375,"['Sampangiram Nagar', ' Police quarters', ' Sampangiram Nagar extension', ' Cubbon Park', ' Vidhana Soudha', ' Shivaji Nagar (P)', ' Commercial Street']",1503,Shivajinagar,16973
19,N.M.Krishnamurthy (BJP),11578,24178,Backward Category B,1.54,Sanjaya Nagar,237,"['Bhupasandra', ' Vinayaka Layout', ' Excise colony', ' RMS colony', ' Nagashettihalli', ' Yajamana Layout', ' AECS Layout', ' Sanjaya Nagar', ' BPEHCS Layout', ' Ramakrishnappa Layout', ' Naidu Layout (P)', ' Amarjyothi Layout (P)']",848,Hebbal,12600
178,S.K.Nataraj (BJP),12837,26707,General,1.34,Sarakki,173,"['Sarakki', ' JP Nagar 6th Phase', ' LIC Quarters']",1379,Jayanagar,13870
79,J.Bhuvaneshwari (BJP),17064,34943,Scheduled Caste,3.66,Sarvagna Nagar,261,"['Sarvagna Nagar', ' Doddakunte', ' Kathlipalya', ' New Baiappanahalli extension', ' Krishnamurthy Nagar']",12221,C V Raman Nagar,17879
179,B.Somashekar (BJP),11506,23239,Backward Category A,1.85,Shakambari Nagar,162,"['Jayanagar 8th Block', ' Jayanagar 5th Block', ' TMC Layout', ' J.P.Nagar 1st Phase', ' Shakambari Nagar']",607,Jayanagar,11733
74,Padmavathi Srinivas (JD (S)),16577,34530,General (Women),0.7,Shakthi Ganapathi Nagar,366,"[u'Basaveshwara Nagar', u' Kirloskar Colony', u' NGO\u2019s Colony', u' BEML Layout', u' Shakthi Ganapati Nagar']",5595,Mahalakshmi Layout,17953
75,M.Shivaraju (INC),16877,35679,General,1.08,Shankar Matt,308,"[u'Jayachamarajanagar', u' Kurubararahalli', u' SVKNagar', u' KHBS Layout', u' Shankarmatt', u' MGNagar', u' Jayachamarajendranagara', u' Sanjaygandhi nagar', u' Teacher\u2019s Colony', u' SriVenkateshwara Krupa Layout']",1280,Mahalakshmi Layout,18802
111,Shivakumar .K (Others),14655,30225,Backward Category A,3.99,Shantala Nagar,104,"['Shantala Nagar', ' Ashok Nagar', ' MEG area', ' Elagondanapalya', ' KSRP quarters', ' Victoria Layout', ' Austin Town (P)', ' Xavier Layout', ' Langford Gardens', ' Richmond Town (P)']",4033,Shanthinagar,15570
117,P.Sowmya (INC),17754,36426,General (Women),2.7,Shanthi Nagar,650,"['Shanthi Nagar', ' Richmond Town (P)', ' Langford Town', ' Anepalya (P)', ' Vinayaka Nagar', ' KSRTC quarters (P)', ' B & C Colony', ' Lakshminyamma Garden', ' Jalakanteshwara Nagara', ' Muniswamy Garden (P)', ' Akkitimmanahalli']",4113,Shanthinagar,18672
12,Sharadamma (BJP),13286,28309,Scheduled Caste (Women),8.97,Shettihalli,522,"['Abbigere', ' Myadarahalli', ' Chikkasandra', ' Shettihalli', ' Nisarga Layout', ' Abbigere kere', ' Someshwara Layout', ' Achappa Layout', ' Vijayalaxmi Layout', ' Abbigere Dinne', ' Abbigere Layout', ' Muniswamiappa Layout', ' V R Layout', ' Kalyana Nagar', ' Kala Nagar', ' Kammagondanahalli', ' Jalahalli West', ' Raghavendra Layout', ' Subramanya Layout', ' Sri Mahalaxmi Layout', ' Venkateshwara Layout', ' Vinayaka Layout', ' Kempe Gowda Garden', ' S M R Layout', ' Paschima County', ' R R Layout', ' Sandhya Nagar', ' Dasappana Palya', ' Athmiya Geleyara Balaga Layout', ' Sapthagiri Layout', ' Anjanadri Layout', ' M Babanna Layout', ' Mallasandra (P)', ' Krishna Nagar', ' Lake View Defence Colony', ' Cauvery Layout', ' Nandana Nagar', ' Brindavana Layout', ' Maruthi Nagar', ' Chikkanna Layout', ' Byraveshwara Nagar']",6418,Dasarahalli,15023
92,Farida (Independent),17284,35740,General (Women),0.43,Shivaji Nagar,402,"['Sultan Nagar', ' Old Karacha Palya', ' Shivaji Nagar (P)']",1438,Shivajinagar,18456
107,Manjunath (BJP),17039,35979,General,0.78,Shivanagara,271,"['Shivanagar', ' Bovi Colony', ' West of Chord road 6th Phase', ' Maha Ganapathi Nagar', ' Rajaji Nagar 3rd Block']",858,Rajajinagar,18940
144,M.Udayshankar (INC),15463,32194,General,0.66,Siddapura,186,"['Siddapura', ' Dayananda Colony', ' Arekempanahalli', ' Someshwar Nagar', ' NIMHANS campus']",4498,Chikkpet,16731
191,Kavitha Babu Raj (INC),9741,21410,General (Women),9.42,Singasandra,148,"['Chikk Beguru', ' AECS Layout', ' SRK Layout Green Garden Layout', ' Singasandra', ' Royal Homes Layout', ' HAL Layout', ' Vedanthachar Layout', ' Channakeshava Nagar', ' Electronic City', ' Vinayaka Nagar', ' GK Layout', ' Royal Country Layout', ' Sampangi Layout', ' Purappana Agrahar', ' Central Silk Board Employees Layout', ' Kudlu Veerappa Reddy Layout', ' Sai Shree Layout', ' Doctors Layout', ' Naganathapur', ' Bhuvaneshwar Layout', ' Infotech Layout', ' SMV layout', ' Kuppendra Reddy Nagar', ' Lake View Meenakshi layout']",2955,Bommanahalli,11669
61,Devika Rani Sridhar (INC),16552,33939,Scheduled Caste,1.31,S K Garden,88,"['Waheed Garden', ' Pottery town', ' SK Garden', ' Devarajivanahalli (P)', ' ITI Colony']",7226,Pulakeshinagar,17387
156,T.Thimmegowda (JD (S)),17252,36045,General,0.8,Srinagar,156,"[u'Harishta Nagar', u' Kalidasa Nagar', u' Pipeline Weaver\u2019s colony', u' Banashankari 1st Stage', u' Muneshwara block', u' Kallappa block', u' Srinagar', u' Dasarahalli (P)', u' Dasarahalli south block', u' Nagendra block', u' SBM colony']",272,Basavanagudi,18793
108,M.G.Jayarathna (BJP),16265,33613,Backward Category A (Women),1.06,Sriramamandir,285,"['Rajaji Nagar IV Block', ' Rajaji Nagar V Block', ' Rajaji Nagar VI Block (P)', ' Jedehalli', ' 4M block SSI Industrial area', ' Bashyam Nagar', ' Gobbanna Industrial area']",905,Rajajinagar,17348
95,T.Mallesh (INC),17264,35427,Scheduled Caste,1.32,Subhash Nagar,441,"['Jai Bhimanagar Slum', ' Swatantra Nagra', ' PNR North nagar', ' Srirampuram', ' Vivekanada Nagar', ' Hanumanthappa colony', ' Shastri Nagar', ' Railway station', ' Subhash Nagar']",11378,Gandhinagar,18163
66,Shashikala Kiran S (BJP),17007,34883,General (Women),0.94,Subramanya Nagar,294,"['Subramanya Nagar', ' Milk colony']",1040,Malleshwaram,17876
152,G.Manjunath (BJP),16569,35910,General,1.74,Suddagunte Palya,299,"['Suddagunte palya', ' Venakateshwar Layout', ' Kaveri Layout', ' Bhurappa Layout', ' Jogi slum', ' Chikka Adugodi', ' Bovi Colony', ' Bharath Nagar', ' Krishnamurhy Layout', ' Brindavan Nagar', ' Ramaiah Garden', ' Maruthi Nagar', ' Balaji Nagar', ' Bharathi Layout', ' Bhavani Nagar']",3193,B T M Layout,19341
118,Avvai .A (INC),15650,32202,Scheduled Caste,1.01,Sudham Nagara,303,"['Rajaram Mohanroy extension', ' Srinivas Colony', ' Vinoba Nagar', ' Sudham Nagar (P)', ' Kalasipalya (P)']",8344,Chikkpet,16552
142,P.N.Sadashiva (BJP),17513,36158,General,1.49,Sunkenahalli,243,"['Vinayaka Extension', ' Kempegowda Nagar', ' Gandhi Bazar', ' Sunkenahalli', ' Shankarapuram']",1966,Chikkpet,18645
15,Puttamma (BJP),11687,26050,General (Women),0.88,T Dasarahalli,187,"['Maheswari Nagar', ' T Dasarahalli', ' Om Colony']",1364,Dasarahalli,14363
6,Lalitha (JD (S)),10018,20402,Backward Category A (Women),9.97,Thanisandra,147,"['Thanisandra', ' Rachenahalli', ' Dasarahalli', ' CAR Quarters', ' Balaji Krupa Layout', ' Basavalingappa Nagar (P)', ' R K Hegde Nagar', ' Kaveri Nagar', ' Prashanth Nagar (P)', ' Chowdappa Layout', ' Nandanavana Layout', ' BDS Layout', ' Sirdi Sai Rathan Layout', ' Railway mens layout', ' Vidya Layout', ' Bhagyashree Royal Layout', ' Chamundeswari Layout', ' Arogyappa Layout', ' Mestri Palya', ' Jingarappa Layout', ' Rachenahalli kere', ' Maruthi Layout', ' Prakruthi colony', ' Buvaneshwari Nagar', ' Mariyanna Palya', ' Nandana Residency Layout', ' Defence Layout', ' Defence enclave 2', ' Manyata Residential layout', ' Defence colony', ' Bharat Nagar', ' Sarai Palya', ' Ashwath Nagar', ' Settigere Muniyappa Layout', ' Amara Jyothi Layout', ' Krishnappa Layout', ' MCECHS Sanchar Nagar', ' Alankar Nagar (Sajid Nagar)', ' Muninangappa Layout', ' Vidya Sagar Layout', ' Rasool Sab Layout', ' Tuba Layout', ' MS Ramaiah North city']",3924,Byatarayanapura,10384
130,Rajanna (INC),9864,20332,Backward Category A,8.92,Ullalu,207,"['Vishveshweraiah Nagar 6th Block', ' Ambedkar Nagar', ' Ullalu Upanagar', ' Upakar Layout', ' SMV 5th Block', ' SMV 4th Block', ' AGS Layout', ' SMV 3rd Block', ' Vinayaka Layout', ' Ghavipuram HBCS Layout', ' Jnanabharati Layout 2nd Stage', ' KPSC Layout', ' Subash Nagar', ' Jagajothi Nagar', ' Bhuvaneshwari Nagar', ' Mariyappanpalya', ' Kalyan Housing Society Layout', ' RR Layout', ' Nagadevanahalli', ' Doddagollarhatti', ' Maruthi Nagar', ' SMV 1st Block', ' Sonnenahalli', ' Oddarapalya', ' Kengeri Satellite Town 3rd Stage (P)', ' Panthar Palya']",3751,Yeshwanthpur,10468
184,Ramesh Raju.K (BJP),10384,21845,Backward Category A,8.99,Uttarahalli,449,"['Hanumagiri Hill', ' Sriramachandrapur', ' Naidu Layout', ' Srisri Nagar', ' Anjaneyaswamy Layout', ' AGS Layout', ' Gaviyappa Thimmayya Layout', ' Best Club and Apartment', ' Purnapragna Layout', ' Hemavathi Layout', ' Kodipura', ' Vinayaka Layout', ' Uttarhalli', ' Srinivas Colony', ' Arehalli', ' Shridini Layout', ' Vaddarpalya', ' Simhadri Layout', ' Patel Munivenkatappa Layout', ' Vallab Nagar', ' Friends Colony', ' Subramanyapura', ' Saptagiri Layout', ' Dorai Kere', ' Rajanna Industries Layout', ' T Laxmayya Layout', ' Paramahansa Layout', ' Yadalam Nagar', ' Adi Narayan Colony', ' Bhuvaneshwari Nagar', ' Vasanthpura', ' Vinayaka Nagar Layout', ' Gubbalallu Layout', ' Huchappanpalya', ' Maruthi Nagar', ' Vasanth Vallaba Nagar 2nd Block', ' Raja Rajeshwari Layout', ' Jayanagar HBCS Layout', ' Turahalli', ' BSK 6th Stage 1st and 2nd blocks', ' Veeranjanaya Nagar', ' Golden Greens Layout', ' Bharat Housing Co-Operative Society Layout (P)', ' Mogekere', ' Gubbalala', ' Happy Valley (P)', ' Raja Gardenia (P)']",3960,Bangalore South,11461
115,Vijayan .S (INC),17541,35532,Scheduled Caste,0.74,Vannarpet,1099,"['Sonenahalli', ' Vannarpet', ' Viveknagar', ' Ambedkar Nagar', ' Austin Town (P)', ' Abbayya Garden', ' Rose Garden', ' Muniyamma Garden', ' EWS Corporation flats (P)', ' Yerrappa Garden (P)']",9468,Shanthinagar,17991
149,S.Uday Kumar (INC),12034,25067,General,26.98,Varthuru,183,"['Chikka Belanduru', ' Gunjuru', ' Pannathur', ' Varthuru', ' Surhunise', ' Khanekandaya', ' Belanduru Amanikere', ' Balagere', ' Gunjuru Palya', ' Ramaswamy Layout', ' Ambedkar Colony', ' Patil Layout', ' Thimmappa Reddy layout', ' Manjunath Layout', ' Madhura Nagar', ' Varthuru Kere', ' Narayanappa Layout', ' Arasahalli', ' Gandhi Nagar', ' Lakshmi Layout', ' Raghavendra Layout', ' Rajashree Layout', ' Muneshwara Layout', ' Venkateshwara Layout', ' Shiradi Sai Nagar (P)', ' Manjunatha Layout', ' Munekollal']",5581,Mahadevpura,13033
93,Katta Jagadish (BJP),12382,25632,General,3.12,Vasanth Nagar,423,"['Kumarapark East', ' Vasanth Nagar', ' RV Layout', ' Annayappa block', ' Kaverappa Layout']",2198,Shivajinagar,13250
197,Vijaya.A (BJP),11465,24522,General (Women),5.34,Vasanthpura,483,"['Part I: Existing RR Nagar CMC ward No. 29 containing following localities:', ' Sarvabhouma Nagar', ' KSRTC Layout', ' Gaundanapalya (P)', ' Canara Bank Colony', ' Chikallasandra (P)', ' Part II: Maruthi Housing Society Layout', ' Devarakere Extension', ' Vittal Nagar', ' Vasanthpura', ' Prashanthi Nagar', ' Sharada Nagar', ' VV Nagar', ' Gokul Nagar', ' Vallabha Nagar', ' Kuvempu Nagar', ' Kailash Nagar', ' Naidu Layout', ' Siddanna Layout', ' Ganapathipura', ' Munireddy Layout', ' Doddakallasandra', ' Ayappa Nagar', ' HBCS 2nd Block', ' BDA Employees Layout', ' Kalyana Nagar', ' Brigade Residency (Boundary described for Part II only)']",2425,Bangalore South,13057
164,M.Venkatesh (BJP),16452,34535,Backward Category A,34535.0,Vidyapeeta ward,357,"['Hanumath Nagar (P)', ' Banasankari 1st stage', ' Ashok Nagar', ' Srinivasanagar (P)', ' Gururaja Layout', ' Banasankari 3rd stage - 6th block', ' Chennamma kere Layout']",1261,Basavanagudi,18083
9,Nandini.K (BJP),10868,23136,General (Women),9.79,Vidyaranyapura,505,"['GKVK Campus', ' M V Layout', ' Virupakshpura', ' Canara Bank Layout', ' Indian Express Layout', ' Buddha Jyothi Layout', ' Sonappa Layout', ' Maruthi Layout', ' Telecom Layout', ' Kempegowda Nagar', ' Muniswamiappa Layout', ' Basaveshwar Colony', ' Anjaneya Layout', ' Tindlu', ' Siddalingeshwar Layout', ' Vidyaranyapura 5th and 6th blocks', ' Srinidhi Layout', ' Balaji Layout', ' Dodda Bommasandra (P)', ' Chikka Venkatappa Layout', ' Vidyaranayapura 1st -3rd and 4th blocks', ' M Venkataswamiappa Layout', ' Gurudarshan Layout', ' Jyaneshwari Layout', ' Tindlu kere', ' Sapthagiri Layout']",1982,Byatarayanapura,12268
123,Ravindra.H (BJP),17068,36077,General,0.73,Vijayanagar,258,"['Vijayanagar', ' Hosahalli Extension (P)', ' Cholurpalya', ' Vidyaranya Nagar', ' Manjunath Nagar']",1297,Vijayanagar,19009
81,Geetha Vivekananda (BJP),11539,24757,General (Women),5.73,Vijnana Nagar,234,"[u'Mahadevapura', u' DRDO\u2019s 2nd Phase', u' Vijnanagar', u' Ramaiah Reddy Colony', u' L N Reddy Colony', u' Veerabadra Colony', u' Kalappa Layout', u' Basavanagar', u' Vibhuthipura', u' Talacauverynagar', u' Veerabhadranagar 2nd Stage', u' Lal Bhadur Shastrynagar', u' Jagadishnagar', u' Jyothinagar', u' Brudavan Nagar']",3761,K R Puram,13218
51,P.Sugumar (BJP),16969,35087,Scheduled Caste,2.05,Vijnanapura,228,"['Kamalamma Layout', ' Kodanda Reddy Layout', ' Manjunath Layout', ' Banasavadi BDA Layout', ' Gurumurthy Reddy Layout', ' Nagappa Reddy Layout', ' Kuvempu Nagar', ' Subramanya Layout', ' Rajarajeswari Layout', ' Jyothi Nagar', ' N R Layout', ' Kotturu', ' Vijnapura', ' Chandrasekhar Layout', ' ITI Employees Housing Colony', ' Food Corporation of India']",6454,K R Puram,18118
143,Anil Kumar.S (BJP),17731,36093,General,2.47,Vishveshwara Puram,188,"['Chikkanna Garden', ' Parvathipura', ' Mavalli', ' Upparahalli', ' Lalbagh Botanical Garden', ' Visweshwarapuram', ' Lalbagh kere']",1744,Chikkpet,18362
22,Munirathnamma (INC),12103,25697,Backward Category B,1.47,Vishwanath Nagenahalli,402,"['Gosaiya Slum', ' Guddahalli', ' V Nagenahalli', ' Yagappa Layout', ' Kanakanagar', ' IOE Layout', ' Cholanayakanahalli', ' Manorayanapalya (P)']",2422,Hebbal,13594
102,L.Nagarathna (JD (S)),15685,34339,Backward Category A (Women),0.99,Vrisabhavathi Nagar,333,"['Kamala Nagar', ' Channigappa Layout', ' Sanakki Bayalu', ' Vrishabha Nagar', ' Vinayaka Nagar', ' Kamakshipalya', ' Maruthi Nagar']",1187,Mahalakshmi Layout,18654
167,Ramesh N.R (BJP),16734,34591,Backward Category A,1.23,Yediyur,180,"['Byrappa Block', ' Krishna Block', ' Tyagaraj Nagar', ' Shastri Nagar', ' Yediyur', ' JayaNagar 6th Block', ' Gupta Layout', ' Vijayarangam Layout', ' City Centre Library']",1111,Padmanabhanagar,17857
4,M.Muniraju (BJP),12325,25782,Backward Category A,4.9,Yelahanka Satellite Town,601,"['Udaya Layout', ' Mother Dairy', ' Soma Nagar', ' Janata colony', ' Chikka Bommasandra', ' Yelahanka Salellite town', ' ABC quarters', ' Ambedkar colony', ' Allalsandra', ' Allalsandra kere', ' Judicial Layout', ' GKVK compus (P)', ' Judicial colony']",3687,Yelahanka,13457
185,O.Manjunath (INC),13104,28000,Backward Category A,1.58,Yelchenahalli,249,"['Ilyas Nagar', ' Kanaka Nagar', ' Geeta Colony', ' Yalchenhalli', ' Krishnadevaraya Nagar', ' Kashi Nagar', ' Anuradha Industrial Estate', ' Pratiba Industrial Estate', ' JC Industrial Layout', ' Bikasipura', ' Nanjappa Layout', ' Chandra Nagar']",2108,Bangalore South,14896
37,Munirathna (INC),17111,35972,General,0.78,Yeshwanthpura,560,"['Yeshwanthpura', ' Gurumurthy Layout', ' Kamala Nehru Extn', ' GK Colony', ' LN Colony', ' Dr.Ambedkar Nagar', ' Railway Qtrs', ' Pampa Nagar', ' LIC Colony', ' BK Nagar']",3555,Rajarajeshwari Nagar,18861
